id,constant,display_name,sort_name,country,continent,digits,date,date_text,date_precision,notes,source_url,category_tags,is_juggling,is_public
pi-brown-pixie-lou-united-kingdom-66-2025-03-14,pi,"Brown, Pixie-Lou","Brown, Pixie-Lou",United Kingdom,Europe,66,2025-03-14,14 March 2025,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-sophia-usa-28-2017-03-14,pi,"Brown, Sophia","Brown, Sophia",USA,North America,28,2017-03-14,14 March 2017,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brown-sydney-usa-150-2016-03-14,pi,"Brown, Sydney","Brown, Sydney",USA,North America,150,2016-03-14,14 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-browne-kieran-great-britain-148-2017-03-14,pi,"Browne, Kieran","Browne, Kieran",Great Britain,Europe,148,2017-03-14,14 March 2017,day,2 min 4 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bruck-isabella-india-40-2013-03-21,pi,"Bruck, Isabella","Bruck, Isabella",India,Asia,40,2013-03-21,21 March 2013,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brunback-axel-usa-55-2023-03-14,pi,"Brunback, Axel","Brunback, Axel",USA,North America,55,2023-03-14,14 March 2023,day,26 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brune-vincent-germany-56-2019-04-03,pi,"Brune, Vincent","Brune, Vincent",Germany,Europe,56,2019-04-03,3 April 2019,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brunke-juliette-usa-46-2017-03-14,pi,"Brunke, Juliette","Brunke, Juliette",USA,North America,46,2017-03-14,14 March 2017,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-brykowytch-orest-poland-60-2019-03-13,pi,"Brykowytch, Orest","Brykowytch, Orest",Poland,Europe,60,2019-03-13,13 March 2019,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-buchholz-lukas-germany-1254-2015-06-22,pi,"Buchholz, Lukas","Buchholz, Lukas",Germany,Europe,1254,2015-06-22,22 June 2015,day,23 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bugar-richard-slovakia-300-2018-08-23,pi,"Bugar, Richard","Bugar, Richard",Slovakia,Europe,300,2018-08-23,23 August 2018,day,1 min 47 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-buhlam-ryan-australia-28-2015-10-14,pi,"Buhlam, Ryan","Buhlam, Ryan",Australia,Australia,28,2015-10-14,14 October 2015,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-buksowicz-anna-poland-21-2016-03-18,pi,"Buksowicz, Anna","Buksowicz, Anna",Poland,Europe,21,2016-03-18,18 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bull-michael-great-britain-200-2013-02-02,pi,"Bull, Michael","Bull, Michael",Great Britain,Europe,200,2013-02-02,2 February 2013,day,while juggling 3 balls,https://www.pi-world-ranking-list.com/index.php?page=lists&category=pi&juggling=1&sort=digits,juggling,true,true
pi-bull-michael-great-britain-900-2017-04-18,pi,"Bull, Michael","Bull, Michael",Great Britain,Europe,900,2017-04-18,18 April 2017,day,6 min 40 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bulmer-william-great-britain-32-2017-03-14,pi,"Bulmer, William","Bulmer, William",Great Britain,Europe,32,2017-03-14,14 March 2017,day,21 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bun-chea-jauwadee-malaysia-159-2018-04-28,pi,"Bun Chea, Jauwadee","Bun Chea, Jauwadee",Malaysia,Asia,159,2018-04-28,28 April 2018,day,2 min 48 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-bunsongsikul-petey-usa-80-2018-04-10,pi,"Bunsongsikul, Petey","Bunsongsikul, Petey",USA,North America,80,2018-04-10,10 April 2018,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burden-bradley-usa-25-2015-03-16,pi,"Burden, Bradley","Burden, Bradley",USA,North America,25,2015-03-16,16 March 2015,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burden-scott-usa-81-2013-03-28,pi,"Burden, Scott","Burden, Scott",USA,North America,81,2013-03-28,28 March 2013,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burget-jahki-usa-257-2021-03-19,pi,"Burget, Jahki","Burget, Jahki",USA,North America,257,2021-03-19,19 March 2021,day,3 min 58 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burnett-william-usa-31-2012-03-15,pi,"Burnett, William","Burnett, William",USA,North America,31,2012-03-15,15 March 2012,day,4 sec,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burns-jack-usa-127-2016-03-14,pi,"Burns, Jack","Burns, Jack",USA,North America,127,2016-03-14,14 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burns-jones-sam-great-britain-213-2016-03-14,pi,"Burns-Jones, Sam","Burns-Jones, Sam",Great Britain,Europe,213,2016-03-14,14 March 2016,day,,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
pi-burns-nathan-usa-78-2012-03-14,pi,"Burns, Nathan","Burns, Nathan",USA,North America,78,2012-03-14,14 March 2012,day,2 min,https://www.pi-world-ranking-list.com/?page=lists&category=pi&sort=digits,normal,false,true
